"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Belgium","2002","Not applicable","Not applicable","Percent","1.93609"
"Belgium","2001","Not applicable","Not applicable","Percent","2.06825"
"Belgium","2000","Not applicable","Not applicable","Percent","1.96558"
"Belgium","1999","Not applicable","Not applicable","Percent","1.93301"
"Belgium","1998","Not applicable","Not applicable","Percent","1.85932"
"Belgium","1997","Not applicable","Not applicable","Percent","1.83103"
"Belgium","1996","Not applicable","Not applicable","Percent","1.7645"
"Bermuda","2011","Not applicable","Not applicable","Percent","0.26122"
"Bermuda","2010","Not applicable","Not applicable","Percent","0.22283"
"Bermuda","2009","Not applicable","Not applicable","Percent","0.22217"
"Bermuda","2008","Not applicable","Not applicable","Percent","0.2095"
"Bermuda","2007","Not applicable","Not applicable","Percent","0.20526"
"Bermuda","1997","Not applicable","Not applicable","Percent","0.05885"
"Bolivia","2009","Not applicable","Not applicable","Percent","0.157"
"Bolivia","2002","Not applicable","Not applicable","Percent","0.27663"
"Bolivia","2001","Not applicable","Not applicable","Percent","0.29358"
"Bolivia","2000","Not applicable","Not applicable","Percent","0.28744"
"Bolivia","1999","Not applicable","Not applicable","Percent","0.29836"
"Bolivia","1998","Not applicable","Not applicable","Percent","0.29495"
"Bolivia","1997","Not applicable","Not applicable","Percent","0.31577"
"Bolivia","1996","Not applicable","Not applicable","Percent","0.32544"
"Bosnia and Herzegovina","2009","Not applicable","Not applicable","Percent","0.02171"
"Bosnia and Herzegovina","2008","Not applicable","Not applicable","Percent","0.01898"
"Bosnia and Herzegovina","2007","Not applicable","Not applicable","Percent","0.02603"
"Bosnia and Herzegovina","2006","Not applicable","Not applicable","Percent","0.02043"
"Bosnia and Herzegovina","2005","Not applicable","Not applicable","Percent","0.02765"
"Bosnia and Herzegovina","2004","Not applicable","Not applicable","Percent","0.01611"
"Bosnia and Herzegovina","2003","Not applicable","Not applicable","Percent","0.01854"
"Botswana","2005","Not applicable","Not applicable","Percent","0.53286"
"Brazil","2011","Not applicable","Not applicable","Percent","1.20964"
"Brazil","2010","Not applicable","Not applicable","Percent","1.16042"
"Brazil","2009","Not applicable","Not applicable","Percent","1.16614"
"Brazil","2008","Not applicable","Not applicable","Percent","1.11431"
"Brazil","2007","Not applicable","Not applicable","Percent","1.09514"
"Brazil","2006","Not applicable","Not applicable","Percent","1.00801"
"Brazil","2005","Not applicable","Not applicable","Percent","0.97132"
"Brazil","2004","Not applicable","Not applicable","Percent","0.89952"
"Brazil","2003","Not applicable","Not applicable","Percent","0.95792"
"Brazil","2002","Not applicable","Not applicable","Percent","0.98472"
"Brazil","2001","Not applicable","Not applicable","Percent","1.0429"
"Brazil","2000","Not applicable","Not applicable","Percent","1.01825"
"Brunei Darussalam","2004","Not applicable","Not applicable","Percent","0.03701"
"Brunei Darussalam","2003","Not applicable","Not applicable","Percent","0.01842"
"Brunei Darussalam","2002","Not applicable","Not applicable","Percent","0.01592"
"Bulgaria","2012","Not applicable","Not applicable","Percent","0.63924"
"Bulgaria","2011","Not applicable","Not applicable","Percent","0.57041"
"Bulgaria","2010","Not applicable","Not applicable","Percent","0.59794"
"Bulgaria","2009","Not applicable","Not applicable","Percent","0.52847"
"Bulgaria","2008","Not applicable","Not applicable","Percent","0.47024"
"Bulgaria","2007","Not applicable","Not applicable","Percent","0.45368"
"Bulgaria","2006","Not applicable","Not applicable","Percent","0.45775"
"Bulgaria","2005","Not applicable","Not applicable","Percent","0.45762"
"Bulgaria","2004","Not applicable","Not applicable","Percent","0.48715"
"Bulgaria","2003","Not applicable","Not applicable","Percent","0.48311"
"Bulgaria","2002","Not applicable","Not applicable","Percent","0.47705"
"Bulgaria","2001","Not applicable","Not applicable","Percent","0.45724"
"Bulgaria","2000","Not applicable","Not applicable","Percent","0.50829"
"Bulgaria","1999","Not applicable","Not applicable","Percent","0.55308"
"Bulgaria","1998","Not applicable","Not applicable","Percent","0.55497"
"Bulgaria","1997","Not applicable","Not applicable","Percent","0.52394"
"Bulgaria","1996","Not applicable","Not applicable","Percent","0.57846"
"Burkina Faso","2009","Not applicable","Not applicable","Percent","0.20056"
"Burkina Faso","2008","Not applicable","Not applicable","Percent","0.18676"
"Burkina Faso","2007","Not applicable","Not applicable","Percent","0.11088"
"Burkina Faso","2005","Not applicable","Not applicable","Percent","0.17057"
"Burkina Faso","2004","Not applicable","Not applicable","Percent","0.24197"
"Burkina Faso","2003","Not applicable","Not applicable","Percent","0.27119"
"Burkina Faso","2002","Not applicable","Not applicable","Percent","0.33866"
"Burkina Faso","2001","Not applicable","Not applicable","Percent","0.19057"
"Burkina Faso","1997","Not applicable","Not applicable","Percent","0.18104"
"Burkina Faso","1996","Not applicable","Not applicable","Percent","0.15834"
"Burundi","2011","Not applicable","Not applicable","Percent","0.12126"
"Burundi","2010","Not applicable","Not applicable","Percent","0.13755"
"Burundi","2009","Not applicable","Not applicable","Percent","0.14434"
"Burundi","2008","Not applicable","Not applicable","Percent","0.15419"
"Burundi","2007","Not applicable","Not applicable","Percent","0.2007"
"Cambodia","2002","Not applicable","Not applicable","Percent","0.0498"
"Canada","2012","Not applicable","Not applicable","Percent","1.72797"
"Canada","2011","Not applicable","Not applicable","Percent","1.78503"
"Canada","2010","Not applicable","Not applicable","Percent","1.86008"
"Canada","2009","Not applicable","Not applicable","Percent","1.97052"
"Canada","2008","Not applicable","Not applicable","Percent","1.91821"
"Canada","2007","Not applicable","Not applicable","Percent","1.9634"
"Canada","2006","Not applicable","Not applicable","Percent","2.00489"
"Canada","2005","Not applicable","Not applicable","Percent","2.03975"
"Canada","2004","Not applicable","Not applicable","Percent","2.06669"
"Canada","2003","Not applicable","Not applicable","Percent","2.03524"
"Canada","2002","Not applicable","Not applicable","Percent","2.04145"
"Canada","2001","Not applicable","Not applicable","Percent","2.08773"
"Canada","2000","Not applicable","Not applicable","Percent","1.90939"
"Canada","1999","Not applicable","Not applicable","Percent","1.79522"
"Canada","1998","Not applicable","Not applicable","Percent","1.7583"
"Canada","1997","Not applicable","Not applicable","Percent","1.65803"
"Canada","1996","Not applicable","Not applicable","Percent","1.65093"
"Cape Verde","2011","Not applicable","Not applicable","Percent","0.07264"
"Chile","2010","Not applicable","Not applicable","Percent","0.41722"
"Chile","2009","Not applicable","Not applicable","Percent","0.40957"
"Chile","2008","Not applicable","Not applicable","Percent","0.37499"
"Chile","2007","Not applicable","Not applicable","Percent","0.3105"
"China","2012","Not applicable","Not applicable","Percent","1.98305"
"China","2011","Not applicable","Not applicable","Percent","1.83617"
"China","2010","Not applicable","Not applicable","Percent","1.75899"
"China","2009","Not applicable","Not applicable","Percent","1.70198"
"China","2008","Not applicable","Not applicable","Percent","1.46986"
"China","2007","Not applicable","Not applicable","Percent","1.39582"
"China","2006","Not applicable","Not applicable","Percent","1.3883"
"China","2005","Not applicable","Not applicable","Percent","1.32476"
"China","2004","Not applicable","Not applicable","Percent","1.22989"
"China","2003","Not applicable","Not applicable","Percent","1.13356"
"China","2002","Not applicable","Not applicable","Percent","1.07003"
"China","2001","Not applicable","Not applicable","Percent","0.95069"
"China","2000","Not applicable","Not applicable","Percent","0.90276"
"China","1999","Not applicable","Not applicable","Percent","0.75705"
"China","1998","Not applicable","Not applicable","Percent","0.65297"
"China","1997","Not applicable","Not applicable","Percent","0.64473"
"China","1996","Not applicable","Not applicable","Percent","0.56828"
"Colombia","2012","Not applicable","Not applicable","Percent","0.17267"
"Colombia","2011","Not applicable","Not applicable","Percent","0.18297"
"Colombia","2010","Not applicable","Not applicable","Percent","0.18054"
"Colombia","2009","Not applicable","Not applicable","Percent","0.17779"
"Colombia","2008","Not applicable","Not applicable","Percent","0.18178"
"Colombia","2007","Not applicable","Not applicable","Percent","0.17053"
"Colombia","2006","Not applicable","Not applicable","Percent","0.14166"
"Colombia","2005","Not applicable","Not applicable","Percent","0.14335"
"Colombia","2004","Not applicable","Not applicable","Percent","0.14201"
"Colombia","2003","Not applicable","Not applicable","Percent","0.14043"
"Colombia","2002","Not applicable","Not applicable","Percent","0.11597"
"Colombia","2001","Not applicable","Not applicable","Percent","0.10945"
"Colombia","2000","Not applicable","Not applicable","Percent","0.10603"
"Colombia","1997","Not applicable","Not applicable","Percent","0.27366"
"Colombia","1996","Not applicable","Not applicable","Percent","0.29923"
"Costa Rica","2011","Not applicable","Not applicable","Percent","0.47641"
"Costa Rica","2010","Not applicable","Not applicable","Percent","0.48261"
"Costa Rica","2009","Not applicable","Not applicable","Percent","0.54117"
"Costa Rica","2008","Not applicable","Not applicable","Percent","0.3984"
"Costa Rica","2007","Not applicable","Not applicable","Percent","0.36417"
"Costa Rica","2006","Not applicable","Not applicable","Percent","0.43047"
"Costa Rica","2004","Not applicable","Not applicable","Percent","0.37318"
"Costa Rica","2003","Not applicable","Not applicable","Percent","0.35682"
"Costa Rica","2000","Not applicable","Not applicable","Percent","0.38728"
"Costa Rica","1999","Not applicable","Not applicable","Percent","0.33172"
"Costa Rica","1998","Not applicable","Not applicable","Percent","0.2574"
"Costa Rica","1997","Not applicable","Not applicable","Percent","0.29075"
"Costa Rica","1996","Not applicable","Not applicable","Percent","0.298"
"Croatia","2012","Not applicable","Not applicable","Percent","0.75164"
"Croatia","2011","Not applicable","Not applicable","Percent","0.75787"
"Croatia","2010","Not applicable","Not applicable","Percent","0.75443"
"Croatia","2009","Not applicable","Not applicable","Percent","0.85014"
"Croatia","2008","Not applicable","Not applicable","Percent","0.89513"
"Croatia","2007","Not applicable","Not applicable","Percent","0.80221"
"Croatia","2006","Not applicable","Not applicable","Percent","0.74872"
"Croatia","2005","Not applicable","Not applicable","Percent","0.86694"
"Croatia","2004","Not applicable","Not applicable","Percent","1.04515"
"Croatia","2003","Not applicable","Not applicable","Percent","0.96492"
"Croatia","2002","Not applicable","Not applicable","Percent","0.96075"
"Croatia","2001","Not applicable","Not applicable","Percent","0.92589"
"Croatia","2000","Not applicable","Not applicable","Percent","1.05654"
"Croatia","1999","Not applicable","Not applicable","Percent","0.85166"
"Cuba","2012","Not applicable","Not applicable","Percent","0.41934"
"Cuba","2011","Not applicable","Not applicable","Percent","0.27494"
"Cuba","2010","Not applicable","Not applicable","Percent","0.60766"
"Cuba","2009","Not applicable","Not applicable","Percent","0.61487"
"Cuba","2008","Not applicable","Not applicable","Percent","0.50061"
"Cuba","2007","Not applicable","Not applicable","Percent","0.43615"
"Cuba","2006","Not applicable","Not applicable","Percent","0.44139"
"Cuba","2005","Not applicable","Not applicable","Percent","0.5492"
"Cuba","2004","Not applicable","Not applicable","Percent","0.60231"
"Cuba","2003","Not applicable","Not applicable","Percent","0.58243"
"Cuba","2002","Not applicable","Not applicable","Percent","0.56445"
"Cuba","2001","Not applicable","Not applicable","Percent","0.56528"
"Cuba","2000","Not applicable","Not applicable","Percent","0.47865"
"Cuba","1999","Not applicable","Not applicable","Percent","0.45831"
"Cuba","1998","Not applicable","Not applicable","Percent","0.50123"
"Cuba","1997","Not applicable","Not applicable","Percent","0.40172"
"Cuba","1996","Not applicable","Not applicable","Percent","0.34736"
"Cyprus","2012","Not applicable","Not applicable","Percent","0.46726"
"Cyprus","2011","Not applicable","Not applicable","Percent","0.49716"
"Cyprus","2010","Not applicable","Not applicable","Percent","0.49355"
"Cyprus","2009","Not applicable","Not applicable","Percent","0.48972"
"Cyprus","2008","Not applicable","Not applicable","Percent","0.42439"
"Cyprus","2007","Not applicable","Not applicable","Percent","0.4412"
"Cyprus","2006","Not applicable","Not applicable","Percent","0.42502"
"Cyprus","2005","Not applicable","Not applicable","Percent","0.40437"
"Cyprus","2004","Not applicable","Not applicable","Percent","0.36755"
"Cyprus","2003","Not applicable","Not applicable","Percent","0.34769"
"Cyprus","2002","Not applicable","Not applicable","Percent","0.30253"
"Cyprus","2001","Not applicable","Not applicable","Percent","0.25453"
"Cyprus","2000","Not applicable","Not applicable","Percent","0.24324"
"Cyprus","1999","Not applicable","Not applicable","Percent","0.23416"
"Cyprus","1998","Not applicable","Not applicable","Percent","0.2181"
"Czech Republic","2012","Not applicable","Not applicable","Percent","1.88148"
"Czech Republic","2011","Not applicable","Not applicable","Percent","1.6413"
"Czech Republic","2010","Not applicable","Not applicable","Percent","1.3974"
"Czech Republic","2009","Not applicable","Not applicable","Percent","1.35342"
"Czech Republic","2008","Not applicable","Not applicable","Percent","1.29591"
"Czech Republic","2007","Not applicable","Not applicable","Percent","1.3654"
"Czech Republic","2006","Not applicable","Not applicable","Percent","1.29059"
"Czech Republic","2005","Not applicable","Not applicable","Percent","1.22417"
"Czech Republic","2004","Not applicable","Not applicable","Percent","1.19771"
"Czech Republic","2003","Not applicable","Not applicable","Percent","1.1996"
"Czech Republic","2002","Not applicable","Not applicable","Percent","1.151"
"Czech Republic","2001","Not applicable","Not applicable","Percent","1.15729"
"Czech Republic","2000","Not applicable","Not applicable","Percent","1.16699"
"Czech Republic","1999","Not applicable","Not applicable","Percent","1.10035"
"Czech Republic","1998","Not applicable","Not applicable","Percent","1.1091"
"Czech Republic","1997","Not applicable","Not applicable","Percent","1.03333"
"Czech Republic","1996","Not applicable","Not applicable","Percent","0.92328"
"Democratic Republic of the Congo","2009","Not applicable","Not applicable","Percent","0.13019"
"Democratic Republic of the Congo","2008","Not applicable","Not applicable","Percent","0.13988"
"Democratic Republic of the Congo","2007","Not applicable","Not applicable","Percent","0.22746"
"Democratic Republic of the Congo","2006","Not applicable","Not applicable","Percent","0.099"
"Democratic Republic of the Congo","2005","Not applicable","Not applicable","Percent","0.09647"
"Democratic Republic of the Congo","2004","Not applicable","Not applicable","Percent","0.42348"
"Denmark","2012","Not applicable","Not applicable","Percent","2.98416"
"Denmark","2011","Not applicable","Not applicable","Percent","2.97599"
"Denmark","2010","Not applicable","Not applicable","Percent","3.00138"
"Denmark","2009","Not applicable","Not applicable","Percent","3.16039"
"Denmark","2008","Not applicable","Not applicable","Percent","2.8499"
"Denmark","2007","Not applicable","Not applicable","Percent","2.58008"
"Denmark","2006","Not applicable","Not applicable","Percent","2.47752"
"Denmark","2005","Not applicable","Not applicable","Percent","2.45645"
"Denmark","2004","Not applicable","Not applicable","Percent","2.48487"
"Denmark","2003","Not applicable","Not applicable","Percent","2.57549"
"Denmark","2002","Not applicable","Not applicable","Percent","2.5082"
"Denmark","2001","Not applicable","Not applicable","Percent","2.38718"
"Denmark","1999","Not applicable","Not applicable","Percent","2.17682"
"Denmark","1998","Not applicable","Not applicable","Percent","2.04476"
"Denmark","1997","Not applicable","Not applicable","Percent","1.92353"
"Denmark","1996","Not applicable","Not applicable","Percent","1.83798"
"Ecuador","2008","Not applicable","Not applicable","Percent","0.22779"
"Ecuador","2007","Not applicable","Not applicable","Percent","0.13194"
"Ecuador","2006","Not applicable","Not applicable","Percent","0.12863"
"Ecuador","2003","Not applicable","Not applicable","Percent","0.05735"
"Ecuador","2002","Not applicable","Not applicable","Percent","0.05534"
"Ecuador","2001","Not applicable","Not applicable","Percent","0.0515"
"Ecuador","1998","Not applicable","Not applicable","Percent","0.06956"
"Ecuador","1997","Not applicable","Not applicable","Percent","0.06608"
"Ecuador","1996","Not applicable","Not applicable","Percent","0.07726"
"Egypt","2011","Not applicable","Not applicable","Percent","0.42863"
"Egypt","2010","Not applicable","Not applicable","Percent","0.39781"
"Egypt","2009","Not applicable","Not applicable","Percent","0.23911"
"Egypt","2008","Not applicable","Not applicable","Percent","0.27024"
"Egypt","2007","Not applicable","Not applicable","Percent","0.2551"
"Egypt","2006","Not applicable","Not applicable","Percent","0.25903"
"Egypt","2005","Not applicable","Not applicable","Percent","0.24141"
"Egypt","2004","Not applicable","Not applicable","Percent","0.26994"
"Egypt","2000","Not applicable","Not applicable","Percent","0.19247"
"Egypt","1999","Not applicable","Not applicable","Percent","0.18651"
"Egypt","1998","Not applicable","Not applicable","Percent","0.1991"
"Egypt","1997","Not applicable","Not applicable","Percent","0.19756"
"Egypt","1996","Not applicable","Not applicable","Percent","0.2126"
"El Salvador","2011","Not applicable","Not applicable","Percent","0.03112"
"El Salvador","2010","Not applicable","Not applicable","Percent","0.06723"
"El Salvador","2009","Not applicable","Not applicable","Percent","0.07744"
"El Salvador","2008","Not applicable","Not applicable","Percent","0.11245"
"El Salvador","2007","Not applicable","Not applicable","Percent","0.08935"
"El Salvador","1998","Not applicable","Not applicable","Percent","0.08031"
"Estonia","2012","Not applicable","Not applicable","Percent","2.18191"
"Estonia","2011","Not applicable","Not applicable","Percent","2.37073"
"Estonia","2010","Not applicable","Not applicable","Percent","1.61964"
"Estonia","2009","Not applicable","Not applicable","Percent","1.41301"
"Estonia","2008","Not applicable","Not applicable","Percent","1.28142"
"Estonia","2007","Not applicable","Not applicable","Percent","1.08061"
"Estonia","2006","Not applicable","Not applicable","Percent","1.12758"
"Estonia","2005","Not applicable","Not applicable","Percent","0.93029"
"Estonia","2004","Not applicable","Not applicable","Percent","0.85389"
"Estonia","2003","Not applicable","Not applicable","Percent","0.76689"
"Estonia","2002","Not applicable","Not applicable","Percent","0.71627"
"Estonia","2001","Not applicable","Not applicable","Percent","0.70001"
"Estonia","2000","Not applicable","Not applicable","Percent","0.60115"
"Estonia","1999","Not applicable","Not applicable","Percent","0.6832"
"Estonia","1998","Not applicable","Not applicable","Percent","0.57266"
"Ethiopia","2010","Not applicable","Not applicable","Percent","0.24566"
"Ethiopia","2007","Not applicable","Not applicable","Percent","0.17393"
"Ethiopia","2005","Not applicable","Not applicable","Percent","0.18235"
"Faeroe Islands","2003","Not applicable","Not applicable","Percent","0.86117"
"Finland","2012","Not applicable","Not applicable","Percent","3.54823"
"Finland","2011","Not applicable","Not applicable","Percent","3.79677"
"Finland","2010","Not applicable","Not applicable","Percent","3.9006"
"Finland","2009","Not applicable","Not applicable","Percent","3.93834"
"Finland","2008","Not applicable","Not applicable","Percent","3.7007"
"Finland","2007","Not applicable","Not applicable","Percent","3.47143"
"Finland","2006","Not applicable","Not applicable","Percent","3.47552"
"Finland","2005","Not applicable","Not applicable","Percent","3.47693"
"Finland","2004","Not applicable","Not applicable","Percent","3.45016"
"Finland","2003","Not applicable","Not applicable","Percent","3.43914"
"Finland","2002","Not applicable","Not applicable","Percent","3.36269"
"Finland","2001","Not applicable","Not applicable","Percent","3.31616"
"Finland","2000","Not applicable","Not applicable","Percent","3.34552"
"Finland","1999","Not applicable","Not applicable","Percent","3.171"
"Finland","1998","Not applicable","Not applicable","Percent","2.87617"
"Finland","1997","Not applicable","Not applicable","Percent","2.70524"
"Finland","1996","Not applicable","Not applicable","Percent","2.52559"
"France","2012","Not applicable","Not applicable","Percent","2.26264"
"France","2011","Not applicable","Not applicable","Percent","2.24979"
"France","2010","Not applicable","Not applicable","Percent","2.24446"
"France","2009","Not applicable","Not applicable","Percent","2.27149"
"France","2008","Not applicable","Not applicable","Percent","2.12427"
"France","2007","Not applicable","Not applicable","Percent","2.08306"
"France","2006","Not applicable","Not applicable","Percent","2.10801"
"France","2005","Not applicable","Not applicable","Percent","2.10865"
"France","2004","Not applicable","Not applicable","Percent","2.15591"
"France","2003","Not applicable","Not applicable","Percent","2.17703"
"France","2002","Not applicable","Not applicable","Percent","2.23777"
"France","2001","Not applicable","Not applicable","Percent","2.19901"
"France","2000","Not applicable","Not applicable","Percent","2.15015"
"France","1999","Not applicable","Not applicable","Percent","2.16008"
"France","1998","Not applicable","Not applicable","Percent","2.14358"
"France","1997","Not applicable","Not applicable","Percent","2.19441"
"France","1996","Not applicable","Not applicable","Percent","2.2693"
"Gabon","2009","Not applicable","Not applicable","Percent","0.58087"
"Gabon","2008","Not applicable","Not applicable","Percent","0.50514"
"Gabon","2007","Not applicable","Not applicable","Percent","0.44757"
"Gambia","2011","Not applicable","Not applicable","Percent","0.13309"
"Gambia","2009","Not applicable","Not applicable","Percent","0.01748"
"Gambia","2008","Not applicable","Not applicable","Percent","0.02039"
"Georgia","2005","Not applicable","Not applicable","Percent","0.17658"
"Georgia","2004","Not applicable","Not applicable","Percent","0.2442"
"Georgia","2003","Not applicable","Not applicable","Percent","0.2176"
"Georgia","2002","Not applicable","Not applicable","Percent","0.18574"
"Georgia","2001","Not applicable","Not applicable","Percent","0.23848"
"Georgia","2000","Not applicable","Not applicable","Percent","0.2153"
"Georgia","1999","Not applicable","Not applicable","Percent","0.28769"
"Georgia","1998","Not applicable","Not applicable","Percent","0.35384"
"Georgia","1997","Not applicable","Not applicable","Percent","0.3424"
"Georgia","1996","Not applicable","Not applicable","Percent","0.33088"
"Germany","2012","Not applicable","Not applicable","Percent","2.9191"
"Germany","2011","Not applicable","Not applicable","Percent","2.89286"
"Germany","2010","Not applicable","Not applicable","Percent","2.80352"
"Germany","2009","Not applicable","Not applicable","Percent","2.82263"
"Germany","2008","Not applicable","Not applicable","Percent","2.68945"
"Germany","2007","Not applicable","Not applicable","Percent","2.53169"
"Germany","2006","Not applicable","Not applicable","Percent","2.54026"
"Germany","2005","Not applicable","Not applicable","Percent","2.5058"
"Germany","2004","Not applicable","Not applicable","Percent","2.50339"
"Germany","2003","Not applicable","Not applicable","Percent","2.53963"
"Germany","2002","Not applicable","Not applicable","Percent","2.50276"
"Germany","2001","Not applicable","Not applicable","Percent","2.47405"
"Germany","2000","Not applicable","Not applicable","Percent","2.47223"
