"","pmid","cit","year"
"20930084","20930084",4,2010
"20929883","20929883",2,2010
"20929334","20929334",0,2010
"20929321","20929321",1,2010
"20929315","20929315",2,2010
"20926398","20926398",5,2010
"20925646","20925646",3,2010
"20923685","20923685",1,2010
"20921530","20921530",7,2010
"20920582","20920582",6,2010
"20888994","20888994",161,2010
"20888976","20888976",1,2010
"20888971","20888971",0,2010
"20886454","20886454",0,2010
"20886453","20886453",0,2010
"20886004","20886004",0,2010
"20884628","20884628",6,2010
"20883788","20883788",13,2010
"20882050","20882050",7,2010
"20880796","20880796",10,2010
"20880586","20880586",16,2010
"20880388","20880388",0,2010
"20878554","20878554",2,2010
"20878302","20878302",1,2010
"20878126","20878126",0,2010
"20875209","20875209",1,2010
"20872890","20872890",10,2010
"20872553","20872553",0,2010
"20872273","20872273",2,2010
"20870288","20870288",6,2010
"20869749","20869749",0,2010
"20864914","20864914",0,2010
"20864582","20864582",10,2010
"20863894","20863894",14,2010
"20863893","20863893",13,2010
"20863615","20863615",0,2010
"20863567","20863567",3,2010
"20862275","20862275",9,2010
"20861921","20861921",6,2010
"20861914","20861914",12,2010
"20858100","20858100",1,2010
"20857396","20857396",1,2010
"20857100","20857100",1,2010
"20855867","20855867",8,2010
"20853559","20853559",0,2010
"20853320","20853320",3,2010
"20851364","20851364",0,2010
"20849062","20849062",0,2010
"20839343","20839343",4,2010
"20839342","20839342",0,2010
"20839339","20839339",8,2010
"20839337","20839337",5,2010
"20839336","20839336",1,2010
"20839335","20839335",4,2010
"20839334","20839334",1,2010
"20839333","20839333",8,2010
"20839332","20839332",0,2010
"20839330","20839330",5,2010
"20846302","20846302",4,2010
"20846097","20846097",6,2010
"20846095","20846095",1,2010
"20845986","20845986",0,2010
"20844565","20844565",7,2010
"20844564","20844564",2,2010
"20844562","20844562",13,2010
"20843302","20843302",24,2010
"20842830","20842830",0,2010
"20842829","20842829",0,2010
"20842788","20842788",0,2010
"20842105","20842105",12,2010
"20837946","20837946",1,2010
"20837940","20837940",22,2010
"20837094","20837094",4,2010
"20836674","20836674",2,2010
"20836669","20836669",1,2010
"20836556","20836556",4,2010
"20836157","20836157",2,2010
"20833250","20833250",2,2010
"20829381","20829381",0,2010
"20828216","20828216",13,2010
"20827288","20827288",14,2010
"20827287","20827287",3,2010
"20826917","20826917",6,2010
"20823404","20823404",0,2010
"20823161","20823161",5,2010
"20822871","20822871",0,2010
"20820839","20820839",1,2010
"20818319","20818319",0,2010
"20817850","20817850",12,2010
"20817095","20817095",3,2010
"20817072","20817072",2,2010
"20816790","20816790",10,2010
"20816789","20816789",8,2010
"20813009","20813009",12,2010
"20813007","20813007",15,2010
"20813004","20813004",3,2010
"20813001","20813001",2,2010
"20812997","20812997",5,2010
"20811695","20811695",4,2010
"20811400","20811400",3,2010
"20811284","20811284",1,2010
"20809502","20809502",0,2010
"20809501","20809501",4,2010
"20809225","20809225",0,2010
"20809185","20809185",2,2010
"20809109","20809109",0,2010
"20807983","20807983",1,2010
"20806349","20806349",4,2010
"20805675","20805675",0,2010
"20802470","20802470",6,2010
"20801898","20801898",4,2010
"20795398","20795398",0,2010
"20739657","20739657",44,2010
"20739656","20739656",4,2010
"20738310","20738310",1,2010
"20738309","20738309",8,2010
"20738306","20738306",8,2010
"20736453","20736453",9,2010
"20736369","20736369",20,2010
"20735396","20735396",1,2010
"20735165","20735165",1,2010
"20733288","20733288",1,2010
"20731705","20731705",7,2010
"20727381","20727381",3,2010
"20724749","20724749",5,2010
"20723978","20723978",0,2010
"20723976","20723976",0,2010
"20723285","20723285",0,2010
"20723284","20723284",1,2010
"20723283","20723283",0,2010
"20720403","20720403",1,2010
"20718685","20718685",2,2010
"20716805","20716805",6,2010
"20716772","20716772",21,2010
"20716767","20716767",11,2010
"20715110","20715110",4,2010
"20714724","20714724",3,2010
"20713960","20713960",6,2010
"20713878","20713878",2,2010
"20713460","20713460",0,2010
"20712081","20712081",1,2010
"20709668","20709668",2,2010
"20705761","20705761",7,2010
"20703257","20703257",3,2010
"20703092","20703092",17,2010
"20702778","20702778",37,2010
"20702535","20702535",2,2010
"20701099","20701099",0,2010
"20701097","20701097",0,2010
"20701083","20701083",0,2010
"20699254","20699254",1,2010
"20699125","20699125",25,2010
"20698147","20698147",1,2010
"20698104","20698104",0,2010
"20697090","20697090",55,2010
"20697069","20697069",14,2010
"20696207","20696207",6,2010
"20696142","20696142",9,2010
"20696111","20696111",0,2010
"20691472","20691472",0,2010
"20689270","20689270",0,2010
"20687796","20687796",4,2010
"20687795","20687795",1,2010
"20687794","20687794",2,2010
"20686606","20686606",13,2010
"20684780","20684780",0,2010
"20683500","20683500",1,2010
"20682505","20682505",1,2010
"20674973","20674973",3,2010
"20674019","20674019",0,2010
"20673534","20673534",0,2010
"20673529","20673529",2,2010
"20671121","20671121",22,2010
"20671116","20671116",7,2010
"20671047","20671047",1,2010
"20670955","20670955",18,2010
"20670484","20670484",6,2010
"20670479","20670479",0,2010
"20669229","20669229",5,2010
"20669154","20669154",3,2010
"20668475","20668475",19,2010
"20665418","20665418",0,2010
"20664990","20664990",1,2010
"20664057","20664057",46,2010
"20664053","20664053",19,2010
"20663900","20663900",8,2010
"20661426","20661426",12,2010
"20660791","20660791",5,2010
"20660714","20660714",5,2010
"20660331","20660331",1,2010
"20660292","20660292",10,2010
"20659835","20659835",2,2010
"20658731","20658731",2,2010
"20657859","20657859",1,2010
"20657554","20657554",4,2010
"20654153","20654153",0,2010
"20651085","20651085",6,2010
"20649559","20649559",4,2010
"20648016","20648016",5,2010
"20647565","20647565",7,2010
"20641609","20641609",0,2010
"20642583","20642583",0,2010
"20642294","20642294",1,2010
"20639881","20639881",56,2010
"20638744","20638744",1,2010
"20637437","20637437",0,2010
"20635386","20635386",6,2010
"20635150","20635150",0,2010
"20634492","20634492",4,2010
"20634380","20634380",6,2010
"20633772","20633772",1,2010
"20631833","20631833",3,2010
"20631526","20631526",0,2010
"20629528","20629528",0,2010
"20628151","20628151",5,2010
"20628148","20628148",16,2010
"20627854","20627854",0,2010
"20627836","20627836",2,2010
"20627536","20627536",1,2010
"20625902","20625902",0,2010
"20625008","20625008",11,2010
"20624030","20624030",2,2010
"20622728","20622728",0,2010
"20622048","20622048",1,2010
"20621095","20621095",0,2010
"20620980","20620980",0,2010
"20620979","20620979",3,2010
"20620978","20620978",9,2010
"20620977","20620977",4,2010
"20620976","20620976",2,2010
"20620975","20620975",1,2010
"20620974","20620974",2,2010
"20620973","20620973",0,2010
"20620972","20620972",11,2010
"20620971","20620971",2,2010
"20620970","20620970",8,2010
"20620969","20620969",7,2010
"20620968","20620968",6,2010
"20620967","20620967",3,2010
"20620966","20620966",0,2010
"20620603","20620603",2,2010
"20620602","20620602",1,2010
"20618428","20618428",3,2010
"20618332","20618332",0,2010
"20617553","20617553",0,2010
"20616957","20616957",2,2010
"20616540","20616540",0,2010
"20616215","20616215",16,2010
"20614951","20614951",19,2010
"20613784","20613784",0,2010
"20610938","20610938",0,2010
"20610811","20610811",19,2010
"20610770","20610770",2,2010
"20610148","20610148",0,2010
"20610075","20610075",0,2010
"20606160","20606160",16,2010
"20603650","20603650",13,2010
"20603613","20603613",15,2010
"20601446","20601446",17,2010
"20601444","20601444",12,2010
"20597086","20597086",9,2010
"20595516","20595516",40,2010
"20595513","20595513",31,2010
"20594187","20594187",13,2010
"20592783","20592783",2,2010
"20591962","20591962",0,2010
"20590446","20590446",1,2010
"20587511","20587511",9,2010
"20587487","20587487",1,2010
"20585286","20585286",0,2010
"20585084","20585084",0,2010
"20584305","20584305",15,2010
"20581863","20581863",13,2010
"20581456","20581456",13,2010
"20578984","20578984",6,2010
"20578824","20578824",0,2010
"20578816","20578816",3,2010
"20555070","20555070",0,2010
"20578200","20578200",2,2010
"20578179","20578179",14,2010
"20576813","20576813",14,2010
"20575031","20575031",2,2010
"20575024","20575024",2,2010
"20574759","20574759",0,2010
"20574049","20574049",10,2010
"20573399","20573399",4,2010
"20573397","20573397",7,2010
"20573041","20573041",0,2010
"20570929","20570929",11,2010
"20570025","20570025",0,2010
"20568897","20568897",0,2010
"20568482","20568482",0,2010
"20568273","20568273",1,2010
"20568076","20568076",1,2010
"20566844","20566844",56,2010
"20564182","20564182",8,2010
"20562332","20562332",6,2010
"20562167","20562167",2,2010
"20561458","20561458",0,2010
"20561445","20561445",0,2010
"20561403","20561403",0,2010
"20561095","20561095",0,2010
"20560968","20560968",1,2010
"20556691","20556691",0,2010
"20553272","20553272",0,2010
"20553269","20553269",11,2010
"20552631","20552631",3,2010
"20551424","20551424",0,2010
"20550648","20550648",4,2010
"20546021","20546021",4,2010
"20545582","20545582",1,2010
"20544986","20544986",0,2010
"20544351","20544351",2,2010
"20544350","20544350",3,2010
"20542565","20542565",0,2010
"20541267","20541267",1,2010
"20538816","20538816",5,2010
"20538793","20538793",25,2010
"20535783","20535783",0,2010
"20534982","20534982",4,2010
"20534739","20534739",10,2010
"20533286","20533286",3,2010
"20532179","20532179",16,2010
"20530793","20530793",11,2010
"20530709","20530709",10,2010
"20530284","20530284",16,2010
"20529806","20529806",1,2010
"20529805","20529805",1,2010
"20528878","20528878",3,2010
"20528870","20528870",2,2010
"20528243","20528243",0,2010
"20527668","20527668",0,2010
"20525658","20525658",0,2010
"20524037","20524037",0,2010
"20522708","20522708",94,2010
"20518828","20518828",3,2010
"20518708","20518708",2,2010
"20517718","20517718",2,2010
"20516235","20516235",3,2010
"20515837","20515837",7,2010
"20513537","20513537",0,2010
"20513119","20513119",4,2010
"20511662","20511662",19,2010
"20507307","20507307",7,2010
"20506683","20506683",1,2010
"20504344","20504344",18,2010
"20501831","20501831",4,2010
"20499237","20499237",3,2010
"20496995","20496995",2,2010
"20496991","20496991",3,2010
"20496015","20496015",4,2010
"20495755","20495755",0,2010
"20495622","20495622",12,2010
"20491995","20491995",1,2010
"20491880","20491880",5,2010
"20490336","20490336",0,2010
"20488224","20488224",6,2010
"20487546","20487546",13,2010
"20487439","20487439",3,2010
"20486472","20486472",0,2010
"20484983","20484983",25,2010
"20482911","20482911",0,2010
"20482804","20482804",3,2010
"20481657","20481657",1,2010
"20479707","20479707",5,2010
"20479412","20479412",29,2010
"20478769","20478769",0,2010
"20478768","20478768",8,2010
"20478107","20478107",31,2010
"20473877","20473877",4,2010
"20473542","20473542",0,2010
"20473358","20473358",4,2010
"20470215","20470215",2,2010
"20466745","20466745",4,2010
"20463751","20463751",5,2010
"20463750","20463750",11,2010
"20463575","20463575",1,2010
"20463087","20463087",2,2010
"20462687","20462687",4,2010
"20462409","20462409",3,2010
"20460644","20460644",17,2010
"20460502","20460502",1,2010
"20459572","20459572",0,2010
"20458041","20458041",25,2010
"20456801","20456801",0,2010
"20456354","20456354",9,2010
"20455028","20455028",0,2010
"20454844","20454844",5,2010
"20454760","20454760",0,2010
"20453493","20453493",0,2010
"20451833","20451833",0,2010
"20447988","20447988",18,2010
"20447900","20447900",0,2010
"20444550","20444550",2,2010
"20443678","20443678",1,2010
"20442367","20442367",11,2010
"20440658","20440658",0,2010
"20437646","20437646",1,2010
"20434772","20434772",0,2010
"20432765","20432765",1,2010
"20429967","20429967",2,2010
"20428636","20428636",2,2010
"20428208","20428208",7,2010
"20428196","20428196",21,2010
"20427701","20427701",11,2010
"20404796","20404796",2,2010
"20425409","20425409",3,2010
"20425406","20425406",0,2010
"20425396","20425396",1,2010
"20425395","20425395",4,2010
"20425394","20425394",1,2010
"20425112","20425112",2,2010
"20424236","20424236",21,2010
"20424183","20424183",6,2010
"20423287","20423287",0,2010
"20421272","20421272",13,2010
"20421269","20421269",10,2010
"20416987","20416987",1,2010
"20416197","20416197",0,2010
"20414310","20414310",3,2010
"20410545","20410545",1,2010
"20410184","20410184",3,2010
"20410181","20410181",5,2010
"20408870","20408870",1,2010
"20408846","20408846",5,2010
"20408839","20408839",1,2010
"20406947","20406947",8,2010
"20405252","20405252",3,2010
"20402119","20402119",0,2010
"20401299","20401299",1,2010
"20400865","20400865",1,2010
"20398985","20398985",5,2010
"20397073","20397073",13,2010
"20396888","20396888",1,2010
"20395517","20395517",0,2010
"20394077","20394077",8,2010
"20393129","20393129",36,2010
"20392494","20392494",0,2010
"20389304","20389304",0,2010
"20389242","20389242",2,2010
"20386530","20386530",0,2010
"20382847","20382847",8,2010
"20381336","20381336",0,2010
"20378569","20378569",18,2010
"20378561","20378561",13,2010
"20377918","20377918",4,2010
"20377308","20377308",12,2010
"20376798","20376798",0,2010
"20375943","20375943",1,2010
"20375934","20375934",0,2010
"20371726","20371726",8,2010
"20370646","20370646",10,2010
"20368783","20368783",0,2010
"20368435","20368435",17,2010
"20367564","20367564",15,2010
"20367195","20367195",4,2010
"20367181","20367181",0,2010
"20364698","20364698",0,2010
"20363025","20363025",2,2010
"20362334","20362334",4,2010
"20362333","20362333",2,2010
"20362233","20362233",0,2010
"20362231","20362231",2,2010
"20360943","20360943",32,2010
"20359747","20359747",11,2010
"20359746","20359746",1,2010
"20357824","20357824",9,2010
"20357779","20357779",91,2010
"20357260","20357260",12,2010
"20357216","20357216",0,2010
"20356625","20356625",0,2010
"20354122","20354122",11,2010
"20353875","20353875",3,2010
"20353271","20353271",0,2010
"25610119","25610119",0,2010
"20351679","20351679",0,2010
"20351313","20351313",22,2010
"20350663","20350663",7,2010
"20346427","20346427",4,2010
"20346010","20346010",0,2010
"20339441","20339441",4,2010
"20339095","20339095",25,2010
"20335218","20335218",39,2010
"20333250","20333250",16,2010
"20332261","20332261",12,2010
"20331737","20331737",4,2010
"20310049","20310049",13,2010
"20307284","20307284",5,2010
"20304309","20304309",0,2010
"20303017","20303017",0,2010
"20302386","20302386",5,2010
"20300113","20300113",10,2010
"20237900","20237900",3,2010
"20237867","20237867",1,2010
"20237321","20237321",8,2010
"20234130","20234130",1,2010
"20233972","20233972",15,2010
"20233887","20233887",15,2010
"20233561","20233561",0,2010
"20233254","20233254",0,2010
"20233059","20233059",0,2010
"20232306","20232306",7,2010
"20230409","20230409",1,2010
"20230400","20230400",2,2010
"20228263","20228263",1,2010
"20227559","20227559",0,2010
"20226699","20226699",2,2010
"20225334","20225334",11,2010
"20224269","20224269",0,2010
"20223726","20223726",11,2010
"20223720","20223720",3,2010
"20223559","20223559",10,2010
"20220777","20220777",11,2010
"20220774","20220774",11,2010
"20220155","20220155",26,2010
"20218808","20218808",2,2010
"20215548","20215548",7,2010
"20212251","20212251",10,2010
"20211015","20211015",3,2010
"20209618","20209618",4,2010
"20208966","20208966",0,2010
"20207849","20207849",3,2010
"20203269","20203269",19,2010
"20201940","20201940",1,2010
"20194866","20194866",80,2010
"20194844","20194844",40,2010
"20187802","20187802",2,2010
"20187101","20187101",5,2010
"20185597","20185597",11,2010
"20184701","20184701",0,2010
"20182346","20182346",3,2010
"20181615","20181615",34,2010
"20181193","20181193",3,2010
"20180950","20180950",0,2010
"20172853","20172853",3,2010
"20171736","20171736",5,2010
"20166765","20166765",9,2010
"20166207","20166207",5,2010
"20166206","20166206",23,2010
"20164537","20164537",3,2010
"20164468","20164468",6,2010
"20164467","20164467",6,2010
"20160652","20160652",4,2010
"20159608","20159608",26,2010
"20156175","20156175",3,2010
"20154216","20154216",41,2010
"20149748","20149748",2,2010
"20148715","20148715",7,2010
"20146970","20146970",2,2010
"20145381","20145381",2,2010
"20145270","20145270",9,2010
"20145264","20145264",2,2010
"20141447","20141447",0,2010
"20140876","20140876",0,2010
"20139040","20139040",0,2010
"20137159","20137159",0,2010
"20137114","20137114",0,2010
"20135127","20135127",4,2010
"20133982","20133982",0,2010
"20133697","20133697",14,2010
"20133476","20133476",1,2010
"20132303","20132303",2,2010
"20129242","20129242",3,2010
"20127549","20127549",0,2010
"20124761","20124761",0,2010
"20124481","20124481",11,2010
"20123861","20123861",12,2010
"20122733","20122733",0,2010
"20118960","20118960",5,2010
"20118199","20118199",41,2010
"20117026","20117026",5,2010
"20110453","20110453",1,2010
"20110421","20110421",37,2010
"20110042","20110042",7,2010
"20109133","20109133",2,2010
"20109070","20109070",0,2010
"20108019","20108019",0,2010
"20107742","20107742",1,2010
"20102530","20102530",1,2010
"20102012","20102012",0,2010
"20101022","20101022",5,2010
"20100262","20100262",1,2010
"20099742","20099742",0,2010
"20098457","20098457",2,2010
"20095410","20095410",0,2010
"22184516","22184516",5,2010
"20093390","20093390",3,2010
"20092894","20092894",3,2010
"20090783","20090783",6,2010
"20090782","20090782",0,2010
"20090781","20090781",12,2010
"20090779","20090779",4,2010
"20090778","20090778",25,2010
"20089965","20089965",13,2010
"20086296","20086296",0,2010
"20086003","20086003",18,2010
"20085962","20085962",0,2010
"20084274","20084274",3,2010
"20081804","20081804",7,2010
"20081380","20081380",5,2010
"20079329","20079329",0,2010
"20079025","20079025",0,2010
"20079020","20079020",0,2010
"20079018","20079018",0,2010
"20079011","20079011",1,2010
"20079010","20079010",0,2010
"20078326","20078326",3,2010
"20078324","20078324",1,2010
"20077527","20077527",8,2010
"20075210","20075210",10,2010
"20075205","20075205",2,2010
"20074801","20074801",3,2010
"20074474","20074474",1,2010
"20072155","20072155",2,2010
"20072150","20072150",5,2010
"20071661","20071661",17,2010
"20070151","20070151",0,2010
"20068404","20068404",7,2010
"20068150","20068150",12,2010
"20068107","20068107",1,2010
"20068106","20068106",9,2010
"20068103","20068103",13,2010
"20068100","20068100",6,2010
"20066902","20066902",0,2010
"20065079","20065079",3,2010
"20064937","20064937",2,2010
"20064162","20064162",0,2010
"20062715","20062715",0,2010
"20062064","20062064",61,2010
"20061561","20061561",4,2010
"20061203","20061203",9,2010
"20060740","20060740",5,2010
"20060366","20060366",151,2010
"20059535","20059535",4,2010
"20055660","20055660",16,2010
"20055657","20055657",8,2010
"20054443","20054443",0,2010
"20053713","20053713",11,2010
"20053448","20053448",0,2010
"20052729","20052729",5,2010
"20045572","20045572",0,2010
"20045309","20045309",14,2010
"20045138","20045138",1,2010
"20042272","20042272",6,2010
"23226042","23226042",0,2010
"22752456","22752456",0,2010
"22282690","22282690",0,2010
"22282677","22282677",0,2010
"22053610","22053610",0,2010
"21694468","21694468",0,2010
"21566766","21566766",0,2010
"21473083","21473083",0,2010
"21415973","21415973",0,2010
"21415969","21415969",0,2010
"21415964","21415964",0,2010
"21415946","21415946",2,2010
"21400979","21400979",1,2010
"22207691","22207691",26,2011
"22207686","22207686",6,2011
"22207685","22207685",0,2011
"22206046","22206046",0,2011
"22205151","22205151",7,2011
"22204453","22204453",2,2011
"22204005","22204005",1,2011
"22202118","22202118",6,2011
"22202043","22202043",5,2011
"22200771","22200771",14,2011
"22200671","22200671",0,2011
"22198186","22198186",3,2011
"22197401","22197401",0,2011
"22195643","22195643",7,2011
"22194822","22194822",2,2011
"22192500","22192500",3,2011
"22190592","22190592",7,2011
"22190579","22190579",1,2011
"22189900","22189900",10,2011
"22185370","22185370",1,2011
"22185019","22185019",0,2011
"22184770","22184770",0,2011
"22184389","22184389",10,2011
"22184387","22184387",0,2011
"22184378","22184378",98,2011
"22182921","22182921",3,2011
"22182918","22182918",9,2011
"22180482","22180482",2,2011
"22180480","22180480",9,2011
"22180443","22180443",79,2011
"22180432","22180432",4,2011
"22180426","22180426",1,2011
"22180236","22180236",1,2011
"22177144","22177144",0,2011
"22174306","22174306",0,2011
"22174294","22174294",5,2011
"22174151","22174151",12,2011
"22171982","22171982",3,2011
"22171799","22171799",4,2011
"22171374","22171374",0,2011
"22169286","22169286",0,2011
"22168404","22168404",0,2011
"22168274","22168274",0,2011
"22165736","22165736",0,2011
"22164296","22164296",0,2011
"22162923","22162923",0,2011
"22161291","22161291",0,2011
"22161246","22161246",1,2011
"22160699","22160699",24,2011
"22160618","22160618",2,2011
"22160384","22160384",163,2011
"22160382","22160382",16,2011
"22160022","22160022",0,2011
"22160021","22160021",8,2011
"22160020","22160020",7,2011
"22160019","22160019",24,2011
"22158541","22158541",140,2011
"22157808","22157808",14,2011
"22157172","22157172",16,2011
"22156510","22156510",2,2011
"22154023","22154023",3,2011
"22151263","22151263",4,2011
"22150370","22150370",0,2011
"22150335","22150335",1,2011
"22150309","22150309",15,2011
"22150204","22150204",4,2011
"22150124","22150124",3,2011
"22150007","22150007",6,2011
"22150006","22150006",141,2011
"22149137","22149137",3,2011
"22146408","22146408",1,2011
"22146223","22146223",0,2011
"22145958","22145958",3,2011
"22145957","22145957",0,2011
"22144129","22144129",6,2011
"22143984","22143984",0,2011
"22143135","22143135",0,2011
"22143063","22143063",2,2011
"22143062","22143062",4,2011
"22143061","22143061",3,2011
"22143060","22143060",0,2011
"22143059","22143059",2,2011
"22143058","22143058",1,2011
"22143057","22143057",0,2011
"22140262","22140262",6,2011
"22139839","22139839",14,2011
"22139735","22139735",1,2011
"22133773","22133773",1,2011
"22133358","22133358",11,2011
"22132993","22132993",2,2011
"22132973","22132973",0,2011
"22130798","22130798",9,2011
"22129777","22129777",0,2011
"22128299","22128299",24,2011
"22127132","22127132",2,2011
"22126248","22126248",18,2011
"22126101","22126101",1,2011
"22124258","22124258",0,2011
"22124120","22124120",24,2011
"22120020","22120020",5,2011
"22118742","22118742",1,2011
"22116538","22116538",5,2011
"22115963","22115963",3,2011
"22112004","22112004",16,2011
"22111902","22111902",2,2011
"22110085","22110085",3,2011
"22109586","22109586",0,2011
"22106831","22106831",3,2011
"22105737","22105737",2,2011
"22105489","22105489",13,2011
"22102804","22102804",21,2011
"22101898","22101898",12,2011
"22101740","22101740",5,2011
"22101351","22101351",3,2011
"22100881","22100881",2,2011
"22099931","22099931",0,2011
"22098228","22098228",2,2011
"22097694","22097694",0,2011
"22096249","22096249",36,2011
"22095382","22095382",1,2011
"22095180","22095180",0,2011
"22092613","22092613",0,2011
"22088099","22088099",2,2011
"22087757","22087757",1,2011
"22086735","22086735",1,2011
"22086667","22086667",8,2011
"22086416","22086416",30,2011
"22086413","22086413",12,2011
"22086161","22086161",3,2011
"22080061","22080061",9,2011
"22077555","22077555",0,2011
"22077072","22077072",1,2011
"22077063","22077063",38,2011
"22072733","22072733",6,2011
"22070651","22070651",1,2011
"22070056","22070056",3,2011
"22067537","22067537",0,2011
"22065599","22065599",8,2011
"22064604","22064604",0,2011
"22064354","22064354",3,2011
"22064350","22064350",7,2011
"22060545","22060545",1,2011
"22035752","22035752",1,2011
"22035743","22035743",1,2011
"22035742","22035742",2,2011
"22035741","22035741",1,2011
"22035740","22035740",1,2011
"22035737","22035737",3,2011
"22058261","22058261",0,2011
"22058259","22058259",0,2011
"22058222","22058222",8,2011
"22058221","22058221",3,2011
"22058197","22058197",0,2011
"22056910","22056910",5,2011
"22051601","22051601",3,2011
"22050709","22050709",0,2011
"22050346","22050346",11,2011
"22050014","22050014",0,2011
"22047708","22047708",1,2011
