"","Comment.gene_symbols.","Comment.descriptions.","Drug_A.diff.logFC","a_p_val","Drug_C.diff.logFC","c_p_val","Drug_D.diff.logFC","d_p_val"
"55","TMEM39B","transmembrane protein 39B",0.0979407774482963,0.899386751182371,0.149291976031692,0.122497673604058,-0.116919049588631,0.109082191088038
"56","TXLNA","taxilin alpha",-0.145275311325099,0.999975715833619,-0.189850577420142,0.457915234730922,0.523770458823314,0.023089383479593
"57","CCDC28B","coiled-coil domain containing 28B",0.0186339577890111,0.999975715833619,-0.191574537542879,0.110388780836467,-0.323451616674769,0.00346533198729225
"58","FAM167B","family with sequence similarity 167, member B",-0.069845320214216,0.999975715833619,-0.24746366500993,0.0980983662387377,-0.282683686887368,0.0179571021076804
"59","HDAC1","histone deacetylase 1",0.171001911782259,0.611732091823323,0.244488913025092,0.0401921003147515,0.0435546218166731,0.591245951463271
"60","TSSK3","testis-specific serine kinase 3",-0.00384350225697272,0.999975715833619,0.0830524038103286,0.612874349672449,0.231076816135477,0.0900051323138317
"61","ZSCAN20","zinc finger and SCAN domain containing 20",0.00752824256487195,0.999975715833619,-0.0782942853784538,0.484249300469599,0.0503657769228631,0.583212834159707
"62","C1orf94","chromosome 1 open reading frame 94",-0.0115271930776775,0.999975715833619,-0.112878245031041,0.288446016572892,-0.18815471506782,0.0408724021401233
"63","GJB5","gap junction protein, beta 5, 31.1kDa",0.00884031204692537,0.999975715833619,-0.192910975048944,0.115103397903841,-0.260631365102882,0.0119904469422646
"64","NCDN","neurochondrin",-0.0490439667192613,0.999975715833619,-0.0202251038370092,0.906807228440069,0.644375568911915,0.000450330783477438
"65","EIF2C1","eukaryotic translation initiation factor 2C, 1",0.175832248098234,0.922757518053154,0.29995438988524,0.113624688520718,0.242582068291186,0.0881729055441122
"66","ZC3H12A","zinc finger CCCH-type containing 12A",0.179148251559218,0.679603325177021,0.111651532993997,0.305851654767234,0.225671773850274,0.0218595134256363
"67","KIAA0754","KIAA0754",0.131884584542843,0.999975715833619,0.426364791412978,0.148295050497255,0.61354706512606,0.0156294407003254
"68","BMP8A","bone morphogenetic protein 8a",0.0141630000482982,0.999975715833619,0.0142065482882661,0.896141290310656,0.0148907424951767,0.861490721607597
"69","OXCT2","3-oxoacid CoA transferase 2",0.0558177206986734,0.999975715833619,0.0334695355910375,0.844794584023663,0.0530064485128579,0.693459111913694
"70","DEM1","defects in morphology 1 homolog (S. cerevisiae)",0.125363571275372,0.773150995455174,0.19767600756014,0.0504532641598049,0.651989416444026,1.9183088845983e-06
"71","ZNF684","zinc finger protein 684",0.105019804807999,0.898855137620467,0.082167257750549,0.380737032431937,0.567663483491435,1.41655818092832e-05
"72","CTPS1","CTP synthase 1",0.193155761511944,0.919662714985271,0.555848738897619,0.0171750178921748,0.791210360876769,0.000290339808093084
"73","PPIH","peptidylprolyl isomerase H (cyclophilin H)",0.020981673672118,0.999975715833619,-0.0789129477036612,0.536755435308904,0.105734858514515,0.306567978419319
"74","DPH2","DPH2 homolog (S. cerevisiae)",-0.117208774217453,0.977909193110411,-0.039048173549288,0.799369805619353,1.01368559241503,4.95335974334162e-06
"75","RNF220","ring finger protein 220",0.0494846185046898,0.999975715833619,0.0493401101376927,0.536816423478225,0.432043552184243,3.65795157430042e-05
"76","TSPAN1","tetraspanin 1",0.141407412056086,0.968374436983023,0.00285669140217593,0.987928184079809,-0.326371102215473,0.0295124633007039
"77","LURAP1","leucine rich adaptor protein 1",0.0128702432119834,0.999975715833619,-0.00384977514362994,0.98303459866844,-0.29187180844158,0.0446935148647628
"78","UQCRH|UQCRHL","ubiquinol-cytochrome c reductase hinge protein|ubiquinol-cytochrome c reductase hinge protein-like",0.0579340462202413,0.999975715833619,0.0301227441165892,0.783118442694297,-0.249229296559825,0.0126987806719052
"79","NSUN4","NOP2/Sun domain family, member 4",0.0571703082315551,0.999975715833619,0.141145387874747,0.203278929729802,0.690679634368673,8.60377703395071e-06
"80","CMPK1","cytidine monophosphate (UMP-CMP) kinase 1, cytosolic",0.0120199568007688,0.999975715833619,0.0935045888951329,0.406072903512939,-0.0733550662908815,0.426523720364378
"81","FOXD2","forkhead box D2",-0.0373936428980972,0.999975715833619,0.0536433328196004,0.737684592039205,-0.236298168354823,0.0744168070609966
"82","SLC5A9","solute carrier family 5 (sodium/glucose cotransporter), member 9",0.00767855148226637,0.999975715833619,-0.102257834092045,0.251644042652543,-0.203257261632388,0.0137740067557794
"83","DIO1","deiodinase, iodothyronine, type I",-0.0472050713840328,0.999975715833619,-0.250712835193368,0.0298265258010215,-0.328013632207057,0.00128856977797576
"84","ACOT11","acyl-CoA thioesterase 11",0.00641277230115112,0.999975715833619,-0.17343007111399,0.144945059770549,-0.227355361979663,0.0227087469534167
"85","PCSK9","proprotein convertase subtilisin/kexin type 9",-0.0076028283278573,0.999975715833619,-0.176031897274101,0.101446621932636,-0.265413616741627,0.00537741701482998
"86","TCTEX1D1","Tctex1 domain containing 1",-0.0619375629746344,0.993195501778461,-0.115995872103343,0.209413372275389,-0.23455704211245,0.00775306998545235
"87","MIER1","mesoderm induction early response 1 homolog (Xenopus laevis)",0.112635647541045,0.999975715833619,0.764790984834149,0.00369792811637949,0.357889319002547,0.0391614746780846
"88","IL12RB2","interleukin 12 receptor, beta 2",-0.159450079122323,0.773150995455174,-0.206640616279353,0.0948065500184575,-0.385709711306519,0.00114103775568207
"89","SRSF11","serine/arginine-rich splicing factor 11",0.0541825506694567,0.999975715833619,-0.101902706177097,0.533849177708439,0.137818336551035,0.29698056665192
"90","FPGT-TNNI3K|FPGT|TNNI3K","FPGT-TNNI3K readthrough|fucose-1-phosphate guanylyltransferase|TNNI3 interacting kinase",0.0751813382086692,0.922757518053154,0.0799897260985563,0.276461773291455,0.0307311303642162,0.610673096878957
"91","MSH4","mutS homolog 4 (E. coli)",0.0636370703480966,0.999975715833619,0.0678675772387736,0.661567297973827,-2.36145501417572,5.51785425028459e-09
"92","NEXN","nexilin (F actin binding protein)",-0.0248713101923332,0.999975715833619,-0.16718526684256,0.133554678783326,-0.325681178046076,0.00253724049874251
"93","SPATA1","spermatogenesis associated 1",0.0530544819139429,0.999975715833619,-0.0322082766582736,0.732392074876651,-0.157473967482187,0.047448443905258
"94","WDR63","WD repeat domain 63",-0.0183844699935138,0.999975715833619,-0.0310932647101907,0.726252014000425,-0.0965062930690472,0.177121684284724
"95","CLCA2","chloride channel accessory 2",0.00387396483748637,0.999975715833619,-0.0563171749610167,0.633149761848742,-0.116969619482946,0.22120703084279
"96","LMO4","LIM domain only 4",0.0980209911490704,0.949324846000433,0.108318805076003,0.303725623415177,0.0463115212971639,0.592519416530793
"97","PKN2","protein kinase N2",-0.122140825120244,0.999975715833619,-0.15228859603842,0.416697982568789,0.497424753716577,0.00706189121247532
"98","LRRC8D","leucine rich repeat containing 8 family, member D",0.0334868646084798,0.999975715833619,0.105582660131375,0.320124264077379,0.410638610041957,0.000607740351659994
"99","EPHX4","epoxide hydrolase 4",0.0885583005939208,0.949324846000433,-0.110617196227309,0.248450022420069,-0.105394454518006,0.17644446324876
"100","BTBD8","BTB (POZ) domain containing 8",0.185074579526673,0.837881605539734,0.189430398721054,0.203714430155654,0.112215540716783,0.340117978283968
"101","RPAP2","RNA polymerase II associated protein 2",-0.213471376623165,0.959256247531157,0.2836723040168,0.237033301760413,0.580392667436365,0.0102153230552617
"102","SNORD21|SNORA66|RPL5","small nucleolar RNA, C/D box 21|small nucleolar RNA, H/ACA box 66|ribosomal protein L5",-0.12189572521598,0.866957806390663,-0.175792637137151,0.124661443785554,-0.0406561437611508,0.637734456260152
"103","LPPR4","lipid phosphate phosphatase-related protein type 4",0.0112798764343434,0.999975715833619,-0.115547263339993,0.386720267179024,-0.165394375391503,0.133737234594868
"104","SLC35A3","solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member A3",-0.302358343697105,0.564181037987725,-0.159972822362779,0.33485640177882,0.346594025690056,0.0210411554280588
"105","HIAT1","hippocampus abundant transcript 1",0.041131822063603,0.999975715833619,-0.0602532518393826,0.63089322388883,0.437307036446921,0.00127857135825129
"106","AMY2A","amylase, alpha 2A (pancreatic)",-0.00661744479381676,0.999975715833619,0.00332543028825416,0.984898423715443,-0.439971236386153,0.00638626286827079
"107","AMY1B|AMY1C|AMY1A","amylase, alpha 1B (salivary)|amylase, alpha 1C (salivary)|amylase, alpha 1A (salivary)",-0.0121340739640448,0.999975715833619,-0.0285523585180476,0.898203264897541,-0.252517215700697,0.143061626150069
"108","PRMT6","protein arginine methyltransferase 6",-0.0522826191789738,0.999975715833619,-0.0148337925952973,0.899785080982307,0.186458804263038,0.0490276565910455
"109","NTNG1","netrin G1",-0.0172719004333306,0.999975715833619,-0.0968672774439803,0.388594339445496,-0.275283559962131,0.0104245112153055
"110","SCARNA2","small Cajal body-specific RNA 2",-0.0301406061485334,0.999975715833619,-0.170106493319027,0.431222012523093,-0.268342846678228,0.132290285329861
"111","KIAA1324","KIAA1324",-0.0718294254489953,0.999975715833619,-0.160017300186001,0.22971321765139,-0.414750104034905,0.00254761771792012
"112","CYB561D1","cytochrome b-561 domain containing 1",0.00650432667405809,0.999975715833619,0.0132081687149253,0.865852045113135,0.263983342823035,0.00117385502977473
"113","UBL4B","ubiquitin-like 4B",0.0803943270869345,0.999975715833619,-0.305370683552338,0.108670082067826,-0.299574868930524,0.041930891020125
"114","PROK1","prokineticin 1",-0.0121421886870099,0.999975715833619,-0.221013763483759,0.0526418555449291,-0.269819149583058,0.00525864758889739
"115","CD53","CD53 molecule",-0.214031034863779,0.922757518053154,0.0192105906457956,0.93282533108845,-0.184773730855169,0.270527764757716
"116","CEPT1","choline/ethanolamine phosphotransferase 1",-0.102746401707364,0.935047169220405,-0.157969892265889,0.16188840677093,0.397763623860164,0.000832627164674422
"117","CHI3L2","chitinase 3-like 2",0.0104082111159189,0.999975715833619,-0.117627312486603,0.347309646006813,-0.280420146595296,0.0150006350966272
"118","C1orf162","chromosome 1 open reading frame 162",-0.0437129448679592,0.999975715833619,-0.373031424654496,0.0365679242312066,-1.6842055286491,9.0952363092417e-08
"119","MOV10","Mov10, Moloney leukemia virus 10, homolog (mouse)",0.132920549788816,0.752798972587324,-0.0883625146499796,0.305619815692746,-0.417642241739902,0.000100146002821613
"120","FAM19A3","family with sequence similarity 19 (chemokine (C-C motif)-like), member A3",0.0132557905133313,0.999975715833619,-0.222337302501974,0.117097030014699,-0.182390575263102,0.0883527732266557
"121","LRIG2","leucine-rich repeats and immunoglobulin-like domains 2",-0.0737832344065348,0.993195501778461,-0.241925615284466,0.0573541933091949,1.11401149162814,2.06719523128818e-07
"122","SYCP1","synaptonemal complex protein 1",0.0331237312865502,0.999975715833619,-0.0261093818667533,0.787330250918161,-0.110291506640756,0.153700215249357
"123","MAB21L3","mab-21-like 3 (C. elegans)",0.06470062568361,0.999975715833619,-0.0681631026308271,0.630751867332774,-0.0721688119901773,0.531401208021649
"124","CD101","CD101 molecule",-0.166106762593492,0.889179448820165,-0.265333450748073,0.107207619227659,-0.247985179484449,0.0492297361537517
"125","MAN1A2","mannosidase, alpha, class 1A, member 2",-0.310237350763918,0.773150995455174,-0.106113444036989,0.634631351427378,-0.0418646942703171,0.820311887057498
"126","WDR3","WD repeat domain 3",-0.125835208178916,0.977909193110411,-0.121269621316056,0.44768910519741,0.798136674852301,7.56124261810532e-05
"127","HSD3B1","hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1",-0.0749174627577829,0.991386153984675,-0.175565217702133,0.13288669027808,-0.390193766532593,0.00101883026780582
"128","FAM72B","family with sequence similarity 72, member B",0.342606385311451,0.999975715833619,0.704867071870129,0.270416771593439,1.33757276050725,0.0207737947820397
"129","ANKRD34A","ankyrin repeat domain 34A",-0.0669348819088071,0.999975715833619,-0.111308852396114,0.352472071822202,0.0265541289252322,0.788382767616414
"130","ITGA10","integrin, alpha 10",0.0439013253527705,0.999975715833619,-0.0955632137299478,0.382498442279162,-0.273679727529013,0.00939501184901938
"131","GPR89C","G protein-coupled receptor 89C",-0.0530540084006468,0.999975715833619,0.233991961495853,0.395353261901707,0.634606272291219,0.0137082610819366
"132","CHD1L","chromodomain helicase DNA binding protein 1-like",0.0500495339753693,0.999975715833619,0.313776572252237,0.180699816947668,0.0855896833406309,0.644325749392438
"133","GJA8","gap junction protein, alpha 8, 50kDa",0.0729135083803056,0.999975715833619,-0.132830058507205,0.478148656691696,-0.155894773094218,0.306139994692799
"134","RN5S58","RNA, 5S ribosomal 58",0.211570524935804,0.841090222731874,0.103036593560811,0.536601784998627,-0.0347786318621961,0.80095936712153
"135","PPIAL4D|PPIAL4F","peptidylprolyl isomerase A (cyclophilin A)-like 4D|peptidylprolyl isomerase A (cyclophilin A)-like 4F",-0.167317457586899,0.98403594723849,-0.146133267224065,0.535304229774019,0.0582008047882887,0.767011113031364
"136","RPRD2","regulation of nuclear pre-mRNA domain containing 2",0.0781714027877722,0.999975715833619,0.39849128588143,0.0245528859594385,0.763033066214211,4.11179236549807e-05
"137","PRUNE","prune homolog (Drosophila)",0.131684352763268,0.999975715833619,0.348359366089229,0.113624688520718,0.962227465416997,9.91072583562411e-05
"138","C1orf56","chromosome 1 open reading frame 56",-0.127089590927751,0.773150995455174,-0.13333638372574,0.145688925989936,-0.24398841381585,0.00473617794284449
"139","MLLT11","myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 11",-0.0129866977645077,0.999975715833619,-0.0513761985567345,0.64806818466695,-0.192520928117899,0.0446935148647628
"140","PSMD4","proteasome (prosome, macropain) 26S subunit, non-ATPase, 4",0.0885861745080572,0.884696528273179,0.177871874910201,0.0533619700191733,-0.0344621676751009,0.591085179554533
"141","ZNF687","zinc finger protein 687",0.022374144815859,0.999975715833619,-0.09479374386693,0.252004211706822,0.373281571008889,0.000174489857036729
"142","PSMB4","proteasome (prosome, macropain) subunit, beta type, 4",-0.0103281457721263,0.999975715833619,-0.0871447910786003,0.571211916237036,-0.052033267117781,0.68509912094953
"143","LCE1B","late cornified envelope 1B",-0.095385399833301,0.977909193110411,-0.268741215672339,0.0648838432029692,-0.322267188904737,0.00829621344578352
"144","LCE6A","late cornified envelope 6A",0.114737100365916,0.977909193110411,-0.0492597943316166,0.750181863629095,-0.00720261762761343,0.954218692235638
"145","NPR1","natriuretic peptide receptor A/guanylate cyclase A (atrionatriuretic peptide receptor A)",0.00233625937097681,0.999975715833619,-0.205391801879427,0.117896558232478,-0.270986674974694,0.0141297759831398
"146","RPS27","ribosomal protein S27",-0.07128242407898,0.980738571266408,-0.0738525228832003,0.447269926340511,-0.0654964801860363,0.408448855611114
"147","UBAP2L","ubiquitin associated protein 2-like",0.074330798692392,0.925098376351615,0.0254606739503007,0.735049951854225,0.497828986708575,5.80204886753076e-06
"148","CHRNB2","cholinergic receptor, nicotinic, beta 2 (neuronal)",-0.0369408233941568,0.999975715833619,-0.199749662793776,0.0839785063969038,-0.485080403017057,0.000105948992463353
"149","FLAD1","FAD1 flavin adenine dinucleotide synthetase homolog (S. cerevisiae)",-0.0794308289285475,0.999975715833619,0.107131503016453,0.38492133456265,0.179890559451918,0.0823130249855231
"150","LMNA","lamin A/C",0.214708722997329,0.837881605539734,0.0367791835289468,0.833618918216712,-0.0987240410811125,0.472252240457948
"151","PMF1|PMF1-BGLAP|BGLAP","polyamine-modulated factor 1|PMF1-BGLAP readthrough|bone gamma-carboxyglutamate (gla) protein",0.0894357131305279,0.925098376351615,0.0582730309845294,0.512933018821087,0.0519604940930316,0.472252240457948
"152","APOA1BP","apolipoprotein A-I binding protein",-0.00458212576035244,0.999975715833619,-0.0336129314533693,0.770036627025872,-0.121556691214332,0.183318008344123
"153","KIRREL","kin of IRRE like (Drosophila)",0.000992274075662714,0.999975715833619,-0.075813886625367,0.456276423474845,-0.142837386216194,0.0915721529095558
"154","DUSP23","dual specificity phosphatase 23",-0.0563358634241897,0.999975715833619,-0.232264058722523,0.0517361299303307,-0.313409660402,0.00278520207307114
"155","FCRL6","Fc receptor-like 6",0.0221064878702224,0.999975715833619,-0.128584722577647,0.19662692865081,-0.214040928627824,0.015893455312847
"156","ATP1A4","ATPase, Na+/K+ transporting, alpha 4 polypeptide",-0.062156660670583,0.983864729833498,-0.139889644371227,0.134040556147083,-0.263749972202007,0.00318958337240207
"157","PEA15","phosphoprotein enriched in astrocytes 15",0.0812557070256883,0.999975715833619,0.230185930088876,0.452429731679152,0.414873596876303,0.102795821833709
"158","VANGL2","vang-like 2 (van gogh, Drosophila)",-0.0518639876595168,0.999975715833619,-0.25776014763967,0.0970014115917591,-0.314140373491282,0.0132781761159623
"159","FCER1G","Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide",-0.0495509855039447,0.999975715833619,-0.290057832211398,0.0590401631817113,-0.342390481358938,0.0075827148334554
"160","FCRLB","Fc receptor-like B",0.0314881629138064,0.999975715833619,-0.155741310201361,0.214493344888026,-0.221950916320713,0.0380398244406164
"161","PBX1","pre-B-cell leukemia homeobox 1",0.304623402854455,0.851111742737475,0.40755756530414,0.124621642154679,0.0193470187345293,0.923694698838499
"162","POGK","pogo transposable element with KRAB domain",-0.0744616814018952,0.999975715833619,-0.0946852616990634,0.591476233312696,1.11315216821507,9.81428881102192e-06
"163","RN5S65","RNA, 5S ribosomal 65",-0.0747094683077387,0.999975715833619,-0.0396627416306705,0.831607064245595,-0.366611601639757,0.0227087469534167
"164","POU2F1","POU class 2 homeobox 1",0.353337250748897,0.703087347069015,0.512609038041424,0.0500236960332605,0.117002353879988,0.512835657165521
"165","C1orf112","chromosome 1 open reading frame 112",0.0297680423279099,0.999975715833619,0.437279410923153,0.134135763112366,0.529674772774746,0.02746264430402
"166","FMO2","flavin containing monooxygenase 2 (non-functional)",0.0268993187388769,0.999975715833619,-0.0321547521930401,0.722454504273178,-0.192871641173113,0.0180331352027606
"167","FMO1","flavin containing monooxygenase 1",0.0612238409339159,0.999975715833619,-0.0428450648382408,0.666135260099242,-0.092443349568601,0.248540923262485
"168","FMO4","flavin containing monooxygenase 4",-0.0920878376045859,0.973129340436556,0.0704365269738809,0.536601784998627,0.123581336726347,0.183214085709262
"169","DNM3","dynamin 3",-0.0522724395207401,0.999975715833619,-0.0638946782290404,0.541898146413427,-0.296356071757548,0.00481429299701216
"170","PRDX6","peroxiredoxin 6",0.0493681110023942,0.999975715833619,0.111038643005392,0.415501380266318,-0.0248678392143198,0.826179043517977
"171","RN5S67","RNA, 5S ribosomal 67",-0.0266524148597429,0.999975715833619,0.0749644653644439,0.676053738651151,-0.0103737804375594,0.943793274421717
"172","GPR52","G protein-coupled receptor 52",0.261062893905813,0.866957806390663,0.568344993644494,0.0339672214650001,0.589687041387734,0.00659432236863831
"173","RN5S69","RNA, 5S ribosomal 69",0.0628415669342797,0.999975715833619,-0.175006706847319,0.245883941327442,-0.376827407047941,0.00896581416564828
"174","TOR1AIP1","torsin A interacting protein 1",0.0743059494141773,0.999975715833619,0.172046474294674,0.17461813715287,0.650767234094487,3.91913114778627e-05
"175","MR1","major histocompatibility complex, class I-related",-0.40175798204042,0.389030763548796,-0.382282926413477,0.0550521375234852,0.319335455722728,0.0309897483717678
